d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.24400	7.13357	684.93378	25	200	55	20.41852	72.39293	10	51.03576	131.23481	12	16	49.88400	41.96776	0.73200	1.42574	0.78415	1.72022	1.54820	0.12200	2.22746	1.55922	0.12200	4.06968	0.24400	0.73200	1403.80000	1000
0.24500	7.10672	686.39539	25	200	55	20.58623	72.98753	10	51.15831	131.54995	12	16	50.00625	42.10713	0.73500	1.41412	0.77777	1.72022	1.54820	0.12250	2.21461	1.55023	0.12250	4.05733	0.24500	0.73500	1403.80000	1000
0.24600	7.08025	687.86298	25	200	55	20.75462	73.58456	10	51.28137	131.86637	12	16	50.12900	42.24706	0.73800	1.40265	0.77146	1.72022	1.54820	0.12300	2.20193	1.54135	0.12300	4.04515	0.24600	0.73800	1403.80000	1000
0.24700	7.05415	689.33655	25	200	55	20.92370	74.18403	10	51.40492	132.18408	12	16	50.25225	42.38757	0.74100	1.39131	0.76522	1.72022	1.54820	0.12350	2.18940	1.53258	0.12350	4.03312	0.24700	0.74100	1403.80000	1000
0.24800	7.02842	690.81610	25	200	55	21.09347	74.78592	10	51.52898	132.50309	12	16	50.37600	42.52864	0.74400	1.38012	0.75906	1.72022	1.54820	0.12400	2.17702	1.52391	0.12400	4.02124	0.24800	0.74400	1403.80000	1000
0.24900	7.00304	692.30163	25	200	55	21.26392	75.39025	10	51.65354	132.82338	12	16	50.50025	42.67029	0.74700	1.36905	0.75298	1.72022	1.54820	0.12450	2.16479	1.51535	0.12450	4.00951	0.24900	0.74700	1403.80000	1000
0.25000	6.97801	693.79313	25	200	55	21.43505	75.99701	10	51.77860	133.14497	12	16	50.62500	42.81250	0.75000	1.35812	0.74697	1.72022	1.54820	0.12500	2.15270	1.50689	0.12500	3.99792	0.25000	0.75000	1403.80000	1000
0.25100	6.95333	695.29062	25	200	55	21.60688	76.60620	10	51.90416	133.46784	12	16	50.75025	42.95529	0.75300	1.34732	0.74103	1.72022	1.54820	0.12550	2.14076	1.49853	0.12550	3.98648	0.25100	0.75300	1403.80000	1000
0.25200	6.92899	696.79409	25	200	55	21.77939	77.21783	10	52.03023	133.79201	12	16	50.87600	43.09864	0.75600	1.33665	0.73516	1.72022	1.54820	0.12600	2.12897	1.49028	0.12600	3.97519	0.25200	0.75600	1403.80000	1000
0.25300	6.90499	698.30354	25	200	55	21.95258	77.83188	10	52.15679	134.11747	12	16	51.00225	43.24257	0.75900	1.32610	0.72936	1.72022	1.54820	0.12650	2.11731	1.48212	0.12650	3.96403	0.25300	0.75900	1403.80000	1000
0.25400	6.88132	699.81897	25	200	55	22.12646	78.44837	10	52.28386	134.44421	12	16	51.12900	43.38706	0.76200	1.31568	0.72363	1.72022	1.54820	0.12700	2.10579	1.47405	0.12700	3.95301	0.25400	0.76200	1403.80000	1000
0.25500	6.85797	701.34037	25	200	55	22.30103	79.06729	10	52.41143	134.77225	12	16	51.25625	43.53213	0.76500	1.30538	0.71796	1.72022	1.54820	0.12750	2.09440	1.46608	0.12750	3.94212	0.25500	0.76500	1403.80000	1000
0.25600	6.83494	702.86776	25	200	55	22.47628	79.68864	10	52.53950	135.10157	12	16	51.38400	43.67776	0.76800	1.29521	0.71236	1.72022	1.54820	0.12800	2.08315	1.45820	0.12800	3.93137	0.25600	0.76800	1403.80000	1000
0.25700	6.81222	704.40113	25	200	55	22.65222	80.31243	10	52.66807	135.43219	12	16	51.51225	43.82397	0.77100	1.28515	0.70683	1.72022	1.54820	0.12850	2.07203	1.45042	0.12850	3.92075	0.25700	0.77100	1403.80000	1000
0.25800	6.78982	705.94048	25	200	55	22.82885	80.93864	10	52.79715	135.76410	12	16	51.64100	43.97074	0.77400	1.27520	0.70136	1.72022	1.54820	0.12900	2.06103	1.44272	0.12900	3.91025	0.25800	0.77400	1403.80000	1000
0.25900	6.76772	707.48581	25	200	55	23.00616	81.56729	10	52.92673	136.09730	12	16	51.77025	44.11809	0.77700	1.26538	0.69596	1.72022	1.54820	0.12950	2.05017	1.43512	0.12950	3.89989	0.25900	0.77700	1403.80000	1000
0.26000	6.74592	709.03711	25	200	55	23.18416	82.19837	10	53.05681	136.43178	12	16	51.90000	44.26600	0.78000	1.25566	0.69061	1.72022	1.54820	0.13000	2.03943	1.42760	0.13000	3.88965	0.26000	0.78000	1403.80000	1000
0.26100	6.72442	710.59440	25	200	55	23.36284	82.83188	10	53.18739	136.76756	12	16	52.03025	44.41449	0.78300	1.24606	0.68533	1.72022	1.54820	0.13050	2.02881	1.42017	0.13050	3.87953	0.26100	0.78300	1403.80000	1000
