d_m	L_m	m_m	m_ogive	m_payload	m_equipement	m_cruise_res	m_cruise_prop	m_engine_housing	m_acc_res	m_acc_prop	m_nozzle	m_Tails	m_AirIntakes	m_Wings	L_ogive	L_payload	L_equipement	L_cruise_res	L_cruise_prop	L_engine_housing	L_acc_res	L_acc_prop	L_nozzle	L_AirIntakes	L_Tails	L_Wings	Impulsion spécifique	Masse volumique
0.52700	6.02434	1539.19328	25	200	55	128.38795	455.19366	10	120.12746	308.89919	12	16	104.43225	104.15277	1.58100	0.30563	0.16810	2.31869	2.08682	0.26350	1.12392	0.78674	0.26350	3.70611	0.52700	1.58100	1041.47000	1600
0.52800	6.02527	1543.11453	25	200	55	128.87566	456.92279	10	120.44666	309.71998	12	16	104.69600	104.45344	1.58400	0.30447	0.16746	2.31869	2.08682	0.26400	1.12264	0.78585	0.26400	3.70533	0.52800	1.58400	1041.47000	1600
0.52900	6.02621	1547.04321	25	200	55	129.36429	458.65519	10	120.76646	310.54233	12	16	104.96025	104.75469	1.58700	0.30332	0.16683	2.31869	2.08682	0.26450	1.12137	0.78496	0.26450	3.70456	0.52900	1.58700	1041.47000	1600
0.53000	6.02718	1550.97932	25	200	55	129.85384	460.39088	10	121.08687	311.36623	12	16	105.22500	105.05650	1.59000	0.30218	0.16620	2.31869	2.08682	0.26500	1.12011	0.78407	0.26500	3.70380	0.53000	1.59000	1041.47000	1600
0.53100	6.02816	1554.92287	25	200	55	130.34431	462.12984	10	121.40788	312.19170	12	16	105.49025	105.35889	1.59300	0.30104	0.16557	2.31869	2.08682	0.26550	1.11885	0.78320	0.26550	3.70304	0.53100	1.59300	1041.47000	1600
0.53200	6.02916	1558.87386	25	200	55	130.83572	463.87208	10	121.72950	313.01872	12	16	105.75600	105.66184	1.59600	0.29991	0.16495	2.31869	2.08682	0.26600	1.11760	0.78232	0.26600	3.70229	0.53200	1.59600	1041.47000	1600
0.53300	6.03017	1562.83227	25	200	55	131.32804	465.61760	10	122.05172	313.84729	12	16	106.02225	105.96537	1.59900	0.29879	0.16433	2.31869	2.08682	0.26650	1.11636	0.78145	0.26650	3.70155	0.53300	1.59900	1041.47000	1600
0.53400	6.03120	1566.79813	25	200	55	131.82129	467.36640	10	122.37455	314.67742	12	16	106.28900	106.26946	1.60200	0.29767	0.16372	2.31869	2.08682	0.26700	1.11512	0.78059	0.26700	3.70081	0.53400	1.60200	1041.47000	1600
0.53500	6.03225	1570.77141	25	200	55	132.31547	469.11847	10	122.69799	315.50911	12	16	106.55625	106.57413	1.60500	0.29656	0.16311	2.31869	2.08682	0.26750	1.11389	0.77973	0.26750	3.70008	0.53500	1.60500	1041.47000	1600
0.53600	6.03331	1574.75213	25	200	55	132.81057	470.87383	10	123.02203	316.34235	12	16	106.82400	106.87936	1.60800	0.29545	0.16250	2.31869	2.08682	0.26800	1.11267	0.77887	0.26800	3.69936	0.53600	1.60800	1041.47000	1600
0.53700	6.03440	1578.74029	25	200	55	133.30659	472.63246	10	123.34667	317.17715	12	16	107.09225	107.18517	1.61100	0.29435	0.16189	2.31869	2.08682	0.26850	1.11146	0.77802	0.26850	3.69865	0.53700	1.61100	1041.47000	1600
0.53800	6.03549	1582.73588	25	200	55	133.80354	474.39437	10	123.67192	318.01351	12	16	107.36100	107.49154	1.61400	0.29326	0.16129	2.31869	2.08682	0.26900	1.11025	0.77717	0.26900	3.69794	0.53800	1.61400	1041.47000	1600
0.53900	6.03661	1586.73890	25	200	55	134.30141	476.15955	10	123.99778	318.85142	12	16	107.63025	107.79849	1.61700	0.29217	0.16070	2.31869	2.08682	0.26950	1.10905	0.77633	0.26950	3.69724	0.53900	1.61700	1041.47000	1600
0.54000	6.03774	1590.74936	25	200	55	134.80021	477.92802	10	124.32424	319.69090	12	16	107.90000	108.10600	1.62000	0.29109	0.16010	2.31869	2.08682	0.27000	1.10785	0.77550	0.27000	3.69654	0.54000	1.62000	1041.47000	1600
0.54100	6.03888	1594.76725	25	200	55	135.29993	479.69976	10	124.65130	320.53192	12	16	108.17025	108.41409	1.62300	0.29002	0.15951	2.31869	2.08682	0.27050	1.10667	0.77467	0.27050	3.69585	0.54100	1.62300	1041.47000	1600
0.54200	6.04004	1598.79258	25	200	55	135.80058	481.47478	10	124.97897	321.37450	12	16	108.44100	108.72274	1.62600	0.28895	0.15892	2.31869	2.08682	0.27100	1.10548	0.77384	0.27100	3.69517	0.54200	1.62600	1041.47000	1600
0.54300	6.04122	1602.82534	25	200	55	136.30215	483.25308	10	125.30725	322.21864	12	16	108.71225	109.03197	1.62900	0.28789	0.15834	2.31869	2.08682	0.27150	1.10431	0.77302	0.27150	3.69450	0.54300	1.62900	1041.47000	1600
0.54400	6.04241	1606.86554	25	200	55	136.80465	485.03466	10	125.63613	323.06434	12	16	108.98400	109.34176	1.63200	0.28683	0.15776	2.31869	2.08682	0.27200	1.10314	0.77220	0.27200	3.69383	0.54400	1.63200	1041.47000	1600
0.54500	6.04362	1610.91317	25	200	55	137.30807	486.81951	10	125.96562	323.91159	12	16	109.25625	109.65213	1.63500	0.28578	0.15718	2.31869	2.08682	0.27250	1.10198	0.77138	0.27250	3.69317	0.54500	1.63500	1041.47000	1600
0.54600	6.04484	1614.96823	25	200	55	137.81241	488.60765	10	126.29571	324.76040	12	16	109.52900	109.96306	1.63800	0.28473	0.15660	2.31869	2.08682	0.27300	1.10082	0.77058	0.27300	3.69251	0.54600	1.63800	1041.47000	1600
